"id","title","author","description","genres","goodreads_rating","amazon_rating","bookish_rating","fantastic_fiction_rating","book_depository_rating"
"1","To Kill a Mockingbird","Harper Lee","A classic novel that explores racial injustice and moral growth in the American South during the 1930s.","Fiction","4.28","4.7","4.2","4.1","4.5"
"2","The Great Gatsby","F. Scott Fitzgerald","Set in the Roaring Twenties, this novel explores the decadence and excess of the Jazz Age in America.","Classic, Fiction","3.91","4.3","4","3.8","4.2"
"3","1984","George Orwell","A chilling vision of a totalitarian regime and the dangers of absolute power.","Dystopian, Fiction","4.18","4.6","4.4","4.3","4.5"
"4","Pride and Prejudice","Jane Austen","A witty exploration of love, social class, and self-discovery.","Classic, Romance","4.26","4.8","4.5","4.2","4.6"
"5","The Catcher in the Rye","J.D. Salinger","A coming-of-age story about teenage angst and rebellion.","Classic, Fiction","3.81","4.1","3.9","3.8","4"
"6","The Hobbit","J.R.R. Tolkien","A prelude to The Lord of the Rings, exploring Bilbo Baggins unexpected journey.","Fantasy, Adventure","4.27","4.8","4.6","4.5","4.7"
"7","The Alchemist","Paulo Coelho","A philosophical tale of a shepherd seeking his personal legend.","Philosophy, Adventure","3.88","4.5","4.3","4.1","4.4"
"8","Harry Potter and the Sorcerers Stone","J.K. Rowling","The magical journey of a young wizard discovering his destiny.","Fantasy, Young Adult","4.47","4.9","4.8","4.6","4.7"
"9","The Kite Runner","Khaled Hosseini","A gripping tale of friendship, betrayal, and redemption.","Fiction, Drama","4.34","4.7","4.5","4.3","4.6"
"10","The Da Vinci Code","Dan Brown","A fast-paced thriller exploring art, religion, and historical secrets.","Thriller, Mystery","3.89","4.4","4.2","4.1","4.3"
"11","Moby Dick","Herman Melville","An epic tale of obsession and revenge between a whaling captain and a white whale.","Adventure","3.52","4","3.8","3.7","4.1"
"12","The Lord of the Rings","J.R.R. Tolkien","An epic saga of friendship, courage, and the struggle between good and evil.","Fantasy, Epic","4.5","4.9","4.8","4.7","4.8"
"13","War and Peace","Leo Tolstoy","A masterpiece that interweaves love, war, and family in the backdrop of the Napoleonic era.","Historical, Epic","4.11","4.6","4.3","4.5","4.4"
"14","Crime and Punishment","Fyodor Dostoevsky","A psychological exploration of guilt, morality, and redemption.","Philosophical Fiction, Drama","4.26","4.5","4.4","4.3","4.5"
"15","The Brothers Karamazov","Fyodor Dostoevsky","A profound examination of faith, morality, and human nature through the story of three brothers.","Philosophical Fiction, Family Drama","4.32","4.6","4.5","4.4","4.4"
"16","One Hundred Years of Solitude","Gabriel García Márquez","The multi-generational story of the Buendía family in the fictional town of Macondo.","Magical Realism","4.06","4.4","4.2","4.1","4.3"
"17","Brave New World","Aldous Huxley","A visionary dystopian novel that examines the dehumanizing effects of technology and control.","Dystopian, Science Fiction","3.99","4.5","4.3","4.2","4.4"
"18","Jane Eyre","Charlotte Brontë","A story of resilience, independence, and love in the face of adversity.","Classic, Romance","4.14","4.6","4.4","4.3","4.4"
"19","Wuthering Heights","Emily Brontë","A dark and passionate tale of love and revenge set on the moors.","Gothic Fiction, Tragedy","3.87","4.4","4.1","4","4.3"
"20","A Tale of Two Cities","Charles Dickens","A dramatic story of love, sacrifice, and revolution in 18th-century France.","Historical, Fiction","3.85","4.5","4.2","4.1","4.2"
"21","Don Quixote","Miguel de Cervantes","A humorous yet profound tale of chivalry and the quest for idealism.","Adventure, Satire","3.9","4.3","4","3.9","4.1"
"22","The Picture of Dorian Gray","Oscar Wilde","A cautionary tale about vanity, decadence, and the cost of eternal youth.","Philosophical Fiction, Gothic","4.08","4.5","4.3","4.2","4.4"
"23","Animal Farm","George Orwell","An allegorical novella critiquing authoritarian regimes through a story about farm animals.","Political Satire, Allegory","3.97","4.6","4.4","4.2","4.5"
"24","The Fault in Our Stars","John Green","A love story between two teenagers who share a passion for literature and a battle with cancer.","Romance, Drama","4.22","4.6","4.3","4.1","4.5"
"25","The Hunger Games","Suzanne Collins","A dystopian story where teenagers must fight to the death in an arena controlled by the government.","Dystopian, Science Fiction","4.33","4.7","4.4","4.1","4.6"
"26","The Outsiders","S.E. Hinton","A story about the struggles of teenage boys from different social classes in the 1960s.","Fiction, Young Adult","4.02","4.5","4.3","4.2","4.4"
"27","The Girl on the Train","Paula Hawkins","A psychological thriller about a woman who becomes entangled in a missing person investigation.","Psychological Thriller, Mystery","4.12","4.4","4.1","4","4.3"
"28","Gone Girl","Gillian Flynn","A twisted and dark mystery about a wife who goes missing and the secrets that unfold about her marriage.","Psychological Thriller, Mystery","4.08","4.5","4.2","4.1","4.4"
"29","The Help","Kathryn Stockett","A story about the lives of black maids working in white households in the 1960s South.","Historical Fiction, Drama","4.25","4.7","4.5","4.2","4.6"
"30","The Martian","Andy Weir","A gripping story about an astronaut stranded on Mars and his fight for survival.","Science Fiction, Thriller","4.36","4.8","4.6","4.4","4.7"
"31","Big Little Lies","Liane Moriarty","A novel about the lives of three women whose seemingly perfect lives unravel with dark secrets.","Fiction, Drama","4.13","4.5","4.2","4.1","4.4"
"32","Circe","Madeline Miller","A retelling of the Greek myth of Circe, a powerful witch who faces challenges and explores her identity.","Fantasy, Mythology","4.36","4.8","4.7","4.5","4.8"
"33","Where the Crawdads Sing","Delia Owens","A mystery about a young woman living alone in the marshlands of North Carolina and the events leading to a murder investigation.","Mystery, Drama","4.4","4.8","4.6","4.5","4.7"
"34","The Night Circus","Erin Morgenstern","A magical and mysterious circus where two young illusionists compete for supremacy.","Fantasy, Romance","4.08","4.5","4.2","4","4.3"
"35","The Road","Cormac McCarthy","A father and son struggle to survive in a desolate world after an unspecified apocalyptic event.","Post-apocalyptic, Fiction","4.21","4.7","4.5","4.3","4.6"
"36","The Secret Garden","Frances Hodgson Burnett","The story of a lonely orphan who finds happiness and adventure in a hidden garden.","Childrens Literature, Classic","4.13","4.5","4.3","4.2","4.4"
"37","The Giver","Lois Lowry","A young boy discovers the truth behind the seemingly perfect society he lives in and the consequences of memory loss.","Dystopian, Young Adult","4.15","4.6","4.4","4.3","4.5"
"38","The Song of Achilles","Madeline Miller","A retelling of the Iliad, focusing on the love story between Achilles and Patroclus.","Historical Fiction, Romance","4.39","4.8","4.7","4.5","4.8"
"39","The Shadow of the Wind","Carlos Ruiz Zafón","A young boy uncovers dark secrets surrounding a forgotten book and a mysterious author in post-World War II Barcelona.","Mystery, Thriller","4.24","4.7","4.5","4.3","4.6"
"40","The Nightingale","Kristin Hannah","The story of two sisters in Nazi-occupied France during World War II and their struggle for survival and resistance.","Historical Fiction, Drama","4.57","4.9","4.8","4.7","4.9"
"41","The Book Thief","Markus Zusak","A young girl living in Nazi Germany steals books and shares them with others while witnessing the horrors of war.","Historical Fiction, Drama","4.38","4.8","4.6","4.5","4.7"
"42","The Silent Patient","Alex Michaelides","A psychological thriller about a woman who shoots her husband and then falls mute, with a psychotherapist trying to uncover her secrets.","Psychological Thriller, Mystery","4.12","4.5","4.2","4.1","4.3"
"43","The 5th Wave","Rick Yancey","A young girl survives a series of alien invasions that wipe out most of humanity and must fight for survival in a post-apocalyptic world.","Science Fiction, Dystopian","3.98","4.4","4.2","4.1","4.3"
"44","Heartstopper","Alice Oseman","A graphic novel about two boys, Nick and Charlie, who navigate their way through friendship, love, and self-discovery.","Romance, Humour","4.44","4.6","4.3","4.2","4.5"
"45","The Maze Runner","James Dashner","A young adult dystopian science fiction novel following the story of a group of teenagers who wake up in a mysterious maze with no memory.","Adventure, Thriller","3.91","4.2","3.8","3.9","4"
"46","Twilight","Stephenie Meyer","A young adult vampire-romance novel focusing on the relationship between Bella Swan and Edward Cullen.","Romance, Fantasy, Adventure","3.61","4.2","3.9","4","4.1"
"47","The Girl with the Dragon Tattoo","Stieg Larsson","A gripping crime thriller that follows journalist Mikael Blomkvist and hacker Lisbeth Salander as they investigate a wealthy family with dark secrets.","Crime, Thriller","4.13","4.4","4.1","4","4.2"
"48","The Silence of the Lambs","Thomas Harris","A psychological horror-thriller novel that introduces FBI trainee Clarice Starling and her encounters with the brilliant but insane cannibalistic serial killer Dr. Hannibal Lecter.","Crime, Horror, Thriller","4.14","4.5","4.3","4.2","4.1"
"49","The Princess Bride","William Goldman","A classic tale of true love, high adventure, pirates, giants, and miracles.","Fantasy, Adventure, Romance, Humour","4.26","4.7","4.4","4.5","4.6"
"50","The Godfather","Mario Puzo","A crime novel that chronicles the Corleone family, led by Vito Corleone, and their mafia empire.","Crime, Thriller","4.37","4.8","4.3","4.4","4.7"
"51","A Game of Thrones","George R.R. Martin","The first book in the epic fantasy series, ""A Song of Ice and Fire,"" involving power struggles, alliances, and conflicts in the Seven Kingdoms.","Fantasy, Adventure","4.45","4.6","4.5","4.7","4.8"
"52","Gone with the Wind","Margaret Mitchell","Set against the backdrop of the American Civil War, it follows the life of Scarlett O Hara, a strong-willed Southern belle.","Romance, Drama","4.3","4.7","4.4","4.5","4.6"
"53","The Name of the Wind","Patrick Rothfuss","An epic fantasy novel narrated by Kvothe, a magically gifted young man, as he recalls his life story.","Fantasy, Adventure","4.55","4.7","4.6","4.5","4.8"
"54","The Haunting of Hill House","Shirley Jackson","A classic horror novel about a paranormal investigator who spends time in a haunted mansion with terrifying consequences.","Horror, Thriller","3.89","4.1","3.8","3.9","4"
"55","Bridgerton: The Duke and I","Julia Quinn","The first book in a series set in Regency-era London, focusing on the romantic lives of the Bridgerton family.","Romance, Humour","4.09","4.6","4.2","4.3","4.5"
"56","The Stand","Stephen King","A post-apocalyptic horror novel that depicts a world decimated by a deadly pandemic and the battle between good and evil survivors.","Horror, Adventure","4.34","4.6","4.5","4.4","4.7"
"57","Crazy Rich Asians","Kevin Kwan","A comedic romance novel that follows the love life of Rachel Chu and her introduction to the lavish world of Singapores elite.","Romance, Humour","3.83","4.1","4","3.9","4.2"
"58","The Bourne Identity","Robert Ludlum","A gripping spy thriller that follows Jason Bourne, an amnesiac assassin, as he tries to uncover his identity and evade his enemies.","Thriller, Adventure","4","4.3","4.2","4.1","4.4"
"59","The Hound of the Baskervilles","Arthur Conan Doyle","A classic detective novel featuring Sherlock Holmes as he investigates a supernatural hound on the moors.","Crime, Mystery, Horror, Adventure","4.12","4.5","4.3","4.2","4.4"
"60","Percy Jackson & the Olympians: The Lightning Thief","Rick Riordan","The first book in the series follows Percy Jackson, a demigod, as he embarks on a quest to prevent a war among the gods.","Fantasy, Adventure","4.24","4.7","4.5","4.6","4.8"
"61","Brida","Paulo Coelho","A novel that tells the story of Brida, a young Irish girl on a journey of self-discovery and spiritual awakening.","Romance, Adventure","3.49","4","3.8","3.9","4.1"
"62","A Court of Thorns and Roses","Sarah J. Maas","The first book in a fantasy series following a huntress, Feyre, who is taken to the faerie lands as punishment for killing a wolf.","Fantasy, Romance, Adventure","4.27","4.7","4.5","4.6","4.8"
"63","Dark Places","Gillian Flynn","A dark and gripping thriller about a woman who investigates the massacre of her family that took place years ago.","Crime, Thriller, Horror","3.93","4","3.9","4.1","4.2"
"64","The Notebook","Nicholas Sparks","A heartwarming love story between Noah Calhoun and Allie Nelson, set in the backdrop of the 1940s.","Romance","4.1","4.4","4.2","4.3","4.5"
"65","Interview with the Vampire","Anne Rice","A vampire novel chronicling the life of Louis de Pointe du Lac, a vampire, and his struggles with immortality.","Horror, Fantasy","3.99","4.2","4","4.1","4.3"
"66","The Lies of Locke Lamora","Scott Lynch","An epic fantasy novel following the exploits of a skilled thief named Locke Lamora in a city of crime and intrigue.","Fantasy, Adventure, Crime","4.3","4.6","4.5","4.4","4.7"
"67","One for the Money","Janet Evanovich","The first book in the Stephanie Plum series, featuring a bounty hunter navigating crime in Trenton, New Jersey.","Crime, Humour","4.03","4.1","4","4.2","4.4"
"68","Red Dragon","Thomas Harris","A psychological thriller featuring FBI profiler Will Graham as he pursues a serial killer named ""The Tooth Fairy.""","Crime, Horror, Thriller","4.02","4.3","4.1","4.2","4.4"
"69","The Princess Diaries","Meg Cabot","A young adult series following the life of Mia Thermopolis, a teenage girl who discovers she is the heir to a small European principality.","Romance, Humour","3.77","4","3.9","4.1","4.2"
"70","The Blade Itself","Joe Abercrombie","The first book in The First Law Trilogy, a dark fantasy series following flawed characters in a world of war, politics, and magic.","Fantasy, Adventure","4.14","4.5","4.3","4.4","4.6"
"71","My Sister, the Serial Killer","Oyinkan Braithwaite","A darkly comedic thriller about a Nigerian woman dealing with her sister who has a habit of killing her boyfriends.","Crime, Humour","3.77","4","3.9","4.1","4.2"
"72","The Ocean at the End of the Lane","Neil Gaiman","A dark fantasy novel that blends magical realism, horror, and a coming-of-age narrative.","Fantasy, Horror","4.02","4.3","4.1","4.2","4.4"
"73","In Cold Blood","Truman Capote","A true crime novel about the brutal murder of a Kansas family and the investigation that followed.","Crime, Non-fiction","4.03","4.4","4.1","4.2","4.3"
"74","Jurassic Park","Michael Crichton","A science fiction thriller that explores the consequences of cloning dinosaurs for a theme park and the chaos that ensues.","Adventure, Thriller","4","4.2","4.1","4","4.3"
"75","The Girl Who Played with Fire","Stieg Larsson","The second book in the Millennium series, following journalist Mikael Blomkvist and hacker Lisbeth Salander as they uncover a dark conspiracy.","Crime, Thriller","4.23","4.4","4.2","4.3","4.5"
"76","A Man Called Ove","Fredrik Backman","A heartwarming tale about an ill-tempered yet charming man named Ove and the unexpected friendships that change his life.","Humour, Romance","4.36","4.6","4.4","4.5","4.7"
"77","Me Before You","Jojo Moyes","A romantic novel about the relationship between a young woman and a paralyzed man she cares for.","Romance, Drama","4.27","4.5","4.3","4.4","4.6"
"78","The Graveyard Book","Neil Gaiman","A supernatural tale about a boy raised by ghosts in a graveyard.","Fantasy, Horror","4.13","4.4","4.2","4.3","4.5"
"79","Neverwhere","Neil Gaiman","A fantasy novel set in an alternate London full of magical and fantastical creatures.","Fantasy, Adventure","4.18","4.5","4.3","4.4","4.6"
"80","The Husbands Secret","Liane Moriarty","A thriller exploring the consequences when a woman discovers a letter addressed to her from her husband, to be opened only upon his death.","Crime, Thriller","3.94","4.1","3.9","4","4.2"
"81","The Hitchhikers Guide to the Galaxy","Douglas Adams","A comedic science fiction series following the adventures of Arthur Dent after Earths destruction.","Humour, Adventure","4.22","4.4","4.2","4.3","4.5"
"82","The Girl in the Ice","Robert Bryndza","A crime thriller featuring detective Erika Foster as she investigates the murder of a young socialite.","Crime, Thriller","4.04","4.2","4","4.1","4.3"
"83","The Gentleman Bastard Series","Scott Lynch","A series following a group of skilled con artists known as the Gentleman Bastards in a fantasy world.","Fantasy, Crime, Adventure","4.33","4.6","4.5","4.4","4.7"
"84","Eleanor Oliphant Is Completely Fine","Gail Honeyman","A heartwarming and humorous novel about Eleanor Oliphant, a socially awkward woman, and her journey towards self-discovery.","Humour, Romance","4.24","4.5","4.3","4.4","4.6"
"85","The Girl with All the Gifts","M.R. Carey","A post-apocalyptic horror novel featuring a young girl with unique abilities in a world plagued by a fungal infection.","Horror, Thriller","4.02","4.3","4.1","4.2","4.4"
"86","Bird Box","Josh Malerman","A chilling tale set in a world where seeing something unknown drives people to deadly violence, forcing survivors to live blindfolded.","Horror, Thriller","4.02","4.3","4.1","4.2","4.4"
"87","Classroom of the Elite","Shōgo Kinugasa","A light novel series set in an elite high school where students are trained to become future leaders.","Thriller","4.12","4.5","4.3","4.4","4.6"
"88","My Happy Marriage","Miki Yoshikawa","A romantic comedy manga exploring the ups and downs of married life.","Romance, Humour","4.2","4.6","4.4","4.5","4.7"
"89","Who Made Me a Princess","Pluto","A webtoon about a girl who finds herself reincarnated as a princess in a deadly and cruel imperial court.","Fantasy, Romance","4.52","4.8","4.6","4.7","4.9"
"90","Where Rainbows End","Cecelia Ahern","The story of two childhood friends whose lives take different paths but whose bond remains strong through the years.","Romance","4.09","4.4","4.2","4.3","4.5"
"91","The Shining","Stephen King","A terrifying story of isolation, madness, and supernatural horror in a haunted hotel.","Horror, Thriller","4.22","4.6","4.5","4.3","4.4"
